1,7349608
2,25458359
3,53159565
4,20726862
5,28686799
6,33810267
7,22881511
8,4833901
9,51050694
10,30797574
11,50789048
12,9631095
13,1271969
14,157465
15,51100188
16,1983101
17,1959320
18,61537795
19,24711058
20,10552308
21,904443
22,487229
23,5368671
24,14281172
25,657653
26,5434504
27,412556
28,60119704
29,29820733
30,14701147
31,410879
32,9202700
33,1432278
34,7895973
35,3118834
36,49548566
37,28046840
38,60002558
39,519276
40,34370313
41,39920910
42,17723079
43,41792368
44,13015603
45,6577179
46,6870355
47,1061675
48,5323047
49,46596986
50,3089253
51,40073004
52,29911535
53,14087346
54,4194311
55,31550711
56,12060598
57,13328107
58,12769879
59,644431
60,2892398
61,16727386
62,6504282
63,142338
64,34556149
65,43696305
66,39331660
67,20376898
68,1524152
69,1003003
70,9465204
71,42968021
72,42100593
73,46489271
74,26705941
75,29563450
76,37005552
77,48479886
78,174940
79,44190015
80,1064223
81,31089004
82,11834748
83,42121567
84,12869240
85,13142328
86,42083804
87,48095
88,8731797
89,55862417
90,9183639
91,172820
92,25454608
93,1937926
94,37933439
95,39925767
96,28206257
97,49536247
98,17775678
99,40484879
100,43948986
101,22878839
102,17213
103,14967273
104,5981974
105,14509372
106,4410993
107,14951927
108,31565579
109,3106703
110,20191096
111,51552534
112,37764147
113,2572603
114,31465462
115,31332864
116,6725861
117,48700969
118,2508505
119,615169
120,5569019
121,665818
122,55998495
123,46607954
124,13532795
125,698941
126,6100856
127,2788522
128,10231058
129,32260893
130,31082848
131,57346125
132,20375252
133,8194174
134,1434110
135,2058453
136,24221954
137,1283281
138,736238
139,38996336
140,19885929
141,14481885
142,22673170
143,4882496
144,36346048
145,3385603
146,34644641
147,8920077
148,28270727
149,1752316
150,17800413
151,12765269
152,29786161
153,383472
154,37167897
155,99965
156,41805
157,56741458
158,13161836
159,42257995
160,675426
161,30668772
162,57819
163,7412738
164,214657
165,41932321
166,3462513
167,16822361
168,1844564
169,3350722
170,59785
171,2988853
172,207379
173,40116717
174,40728364
175,38144851
176,531566
177,17512141
178,53977192
179,60225
180,31287560
181,11224683
182,3951487
183,17849766
184,166842
185,9383996
186,2217487
187,23289580
188,32495465
189,59648370
190,40126413
191,46694890
192,20084469
193,25661541
194,58475368
195,8039960
196,36200511
197,12641787
198,27599500
199,805870
200,10721880
